# provenance: run=20260630T0538__10ep_3bb script=paper/figures/scripts/extract_htraj.py backbone=llama-3.2-11b-vision fault=hallucination__position_worst_user_direct baselines=['b0', 'b2'] n_episodes=10
series,ep,t,dist,r,h,r_min,r_max
B0 (no filter),0,1.0612,1.7704,1.8,-0.0296,0.9,1.8
B0 (no filter),0,1.0806,1.7706,1.8,-0.0294,0.9,1.8
B0 (no filter),0,1.1001,1.7709,1.8,-0.0291,0.9,1.8
B0 (no filter),0,1.1206,1.7711,1.8,-0.0289,0.9,1.8
B0 (no filter),0,1.1407,1.7714,1.8,-0.0286,0.9,1.8
B0 (no filter),0,1.1609,1.7716,1.8,-0.0284,0.9,1.8
B0 (no filter),0,1.1812,1.7718,1.8,-0.0282,0.9,1.8
B0 (no filter),0,1.2005,1.772,1.8,-0.028,0.9,1.8
B0 (no filter),0,1.2207,1.7722,1.8,-0.0278,0.9,1.8
B0 (no filter),0,1.2405,1.7724,1.8,-0.0276,0.9,1.8
B0 (no filter),0,1.2608,1.7725,1.8,-0.0275,0.9,1.8
B0 (no filter),0,1.2807,1.7726,1.8,-0.0274,0.9,1.8
B0 (no filter),0,1.3003,1.7728,1.8,-0.0272,0.9,1.8
B0 (no filter),0,1.3205,1.7729,1.8,-0.0271,0.9,1.8
B0 (no filter),0,1.3404,1.773,1.8,-0.027,0.9,1.8
B0 (no filter),0,1.3608,1.7731,1.8,-0.0269,0.9,1.8
B0 (no filter),0,1.3801,1.7731,1.8,-0.0269,0.9,1.8
B0 (no filter),0,1.4005,1.7732,1.8,-0.0268,0.9,1.8
B0 (no filter),0,1.4208,1.7732,1.8,-0.0268,0.9,1.8
B0 (no filter),0,1.4406,1.7732,1.8,-0.0268,0.9,1.8
B0 (no filter),0,1.4625,1.7732,1.8,-0.0268,0.9,1.8
B0 (no filter),0,1.4808,1.7732,1.8,-0.0268,0.9,1.8
B0 (no filter),0,1.5003,1.7731,1.8,-0.0269,0.9,1.8
B0 (no filter),0,1.5202,1.773,1.8,-0.027,0.9,1.8
B0 (no filter),0,1.5408,1.7729,1.8,-0.0271,0.9,1.8
B0 (no filter),0,1.5604,1.7728,1.8,-0.0272,0.9,1.8
B0 (no filter),0,1.5807,1.7726,1.8,-0.0274,0.9,1.8
B0 (no filter),0,1.6029,1.7725,1.8,-0.0275,0.9,1.8
B0 (no filter),0,1.6207,1.7723,1.8,-0.0277,0.9,1.8
B0 (no filter),0,1.9394,1.7721,1.8,-0.0279,0.9,1.8
B0 (no filter),0,1.9395,1.772,1.8,-0.028,0.9,1.8
B0 (no filter),0,1.9395,1.7718,1.8,-0.0282,0.9,1.8
B0 (no filter),0,1.9399,1.7717,1.8,-0.0283,0.9,1.8
B0 (no filter),0,1.94,1.7715,1.8,-0.0285,0.9,1.8
B0 (no filter),0,1.9401,1.7715,1.8,-0.0285,0.9,1.8
B0 (no filter),0,1.9401,1.7714,1.8,-0.0286,0.9,1.8
B0 (no filter),0,1.9401,1.7714,1.8,-0.0286,0.9,1.8
B0 (no filter),0,1.9401,1.7714,1.8,-0.0286,0.9,1.8
B0 (no filter),0,1.9401,1.7715,1.8,-0.0285,0.9,1.8
B0 (no filter),0,1.9402,1.7716,1.8,-0.0284,0.9,1.8
B0 (no filter),0,1.9402,1.7717,1.8,-0.0283,0.9,1.8
B0 (no filter),0,1.9402,1.772,1.8,-0.028,0.9,1.8
B0 (no filter),0,1.9402,1.7721,1.8,-0.0279,0.9,1.8
B0 (no filter),0,1.9404,1.7724,1.8,-0.0276,0.9,1.8
B0 (no filter),0,1.9605,1.7726,1.8,-0.0274,0.9,1.8
B0 (no filter),0,1.9808,1.773,1.8,-0.027,0.9,1.8
B0 (no filter),0,2.0003,1.7732,1.8,-0.0268,0.9,1.8
B0 (no filter),0,2.0207,1.7736,1.8,-0.0264,0.9,1.8
B0 (no filter),0,2.0411,1.7738,1.8,-0.0262,0.9,1.8
B0 (no filter),0,2.0625,1.7741,1.8,-0.0259,0.9,1.8
B0 (no filter),0,2.0818,1.7743,1.8,-0.0257,0.9,1.8
B0 (no filter),0,2.1004,1.7746,1.8,-0.0254,0.9,1.8
B0 (no filter),0,2.1199,1.7747,1.8,-0.0253,0.9,1.8
B0 (no filter),0,2.1406,1.7749,1.8,-0.0251,0.9,1.8
B0 (no filter),0,2.1602,1.7749,1.8,-0.0251,0.9,1.8
B0 (no filter),0,2.1802,1.775,1.8,-0.025,0.9,1.8
B0 (no filter),0,2.1999,1.775,1.8,-0.025,0.9,1.8
B0 (no filter),0,2.2201,1.775,1.8,-0.025,0.9,1.8
B0 (no filter),0,2.2407,1.775,1.8,-0.025,0.9,1.8
B0 (no filter),0,2.2605,1.7751,1.8,-0.0249,0.9,1.8
B0 (no filter),0,2.2804,1.7751,1.8,-0.0249,0.9,1.8
B0 (no filter),0,2.3002,1.7752,1.8,-0.0248,0.9,1.8
B0 (no filter),0,2.3205,1.7753,1.8,-0.0247,0.9,1.8
B0 (no filter),0,2.3404,1.7754,1.8,-0.0246,0.9,1.8
B0 (no filter),0,2.3601,1.7754,1.8,-0.0246,0.9,1.8
B0 (no filter),0,2.38,1.7756,1.8,-0.0244,0.9,1.8
B0 (no filter),0,2.4007,1.7757,1.8,-0.0243,0.9,1.8
B0 (no filter),0,2.4202,1.7758,1.8,-0.0242,0.9,1.8
B0 (no filter),0,2.441,1.7759,1.8,-0.0241,0.9,1.8
B0 (no filter),0,2.4608,1.7761,1.8,-0.0239,0.9,1.8
B0 (no filter),0,2.4805,1.7762,1.8,-0.0238,0.9,1.8
B0 (no filter),0,2.5,1.7764,1.8,-0.0236,0.9,1.8
B0 (no filter),0,2.5206,1.7766,1.8,-0.0234,0.9,1.8
B0 (no filter),0,2.5402,1.7769,1.8,-0.0231,0.9,1.8
B0 (no filter),0,2.5604,1.777,1.8,-0.023,0.9,1.8
B0 (no filter),0,2.5813,1.7773,1.8,-0.0227,0.9,1.8
B0 (no filter),0,2.6002,1.7775,1.8,-0.0225,0.9,1.8
B0 (no filter),0,2.6232,1.7779,1.8,-0.0221,0.9,1.8
B0 (no filter),0,2.6406,1.7781,1.8,-0.0219,0.9,1.8
B0 (no filter),0,2.6616,1.7784,1.8,-0.0216,0.9,1.8
B0 (no filter),0,2.6801,1.7787,1.8,-0.0213,0.9,1.8
B0 (no filter),0,2.7011,1.779,1.8,-0.021,0.9,1.8
B0 (no filter),0,2.7199,1.7793,1.8,-0.0207,0.9,1.8
B0 (no filter),0,2.7403,1.7797,1.8,-0.0203,0.9,1.8
B0 (no filter),0,2.76,1.7799,1.8,-0.0201,0.9,1.8
B0 (no filter),0,2.7804,1.7804,1.8,-0.0196,0.9,1.8
B0 (no filter),0,2.8003,1.7806,1.8,-0.0194,0.9,1.8
B0 (no filter),0,2.8205,1.7811,1.8,-0.0189,0.9,1.8
B0 (no filter),0,2.8412,1.7814,1.8,-0.0186,0.9,1.8
B0 (no filter),0,2.8609,1.7819,1.8,-0.0181,0.9,1.8
B0 (no filter),0,2.8807,1.7822,1.8,-0.0178,0.9,1.8
B0 (no filter),0,2.9004,1.7827,1.8,-0.0173,0.9,1.8
B0 (no filter),0,2.9205,1.783,1.8,-0.017,0.9,1.8
B0 (no filter),0,2.9406,1.7834,1.8,-0.0166,0.9,1.8
B0 (no filter),0,2.9606,1.7836,1.8,-0.0164,0.9,1.8
B0 (no filter),0,2.9801,1.784,1.8,-0.016,0.9,1.8
B0 (no filter),0,3.0005,1.7841,1.8,-0.0159,0.9,1.8
B0 (no filter),0,3.0211,1.7843,1.8,-0.0157,0.9,1.8
B0 (no filter),0,3.0406,1.7844,1.8,-0.0156,0.9,1.8
B0 (no filter),0,3.0601,1.7845,1.8,-0.0155,0.9,1.8
B0 (no filter),0,3.0802,1.7846,1.8,-0.0154,0.9,1.8
B0 (no filter),0,3.1003,1.7846,1.8,-0.0154,0.9,1.8
B0 (no filter),0,3.1203,1.7846,1.8,-0.0154,0.9,1.8
B0 (no filter),0,3.1403,1.7845,1.8,-0.0155,0.9,1.8
B0 (no filter),0,3.1601,1.7845,1.8,-0.0155,0.9,1.8
B0 (no filter),0,3.1801,1.7844,1.8,-0.0156,0.9,1.8
B0 (no filter),0,3.2004,1.7843,1.8,-0.0157,0.9,1.8
B0 (no filter),0,3.2204,1.7841,1.8,-0.0159,0.9,1.8
B0 (no filter),0,3.2404,1.784,1.8,-0.016,0.9,1.8
B0 (no filter),0,3.2599,1.7839,1.8,-0.0161,0.9,1.8
B0 (no filter),0,3.2803,1.7838,1.8,-0.0162,0.9,1.8
B0 (no filter),0,3.3006,1.7837,1.8,-0.0163,0.9,1.8
B0 (no filter),0,3.3201,1.7836,1.8,-0.0164,0.9,1.8
B0 (no filter),0,3.3407,1.7834,1.8,-0.0166,0.9,1.8
B0 (no filter),0,3.3637,1.7833,1.8,-0.0167,0.9,1.8
B0 (no filter),0,3.3809,1.7831,1.8,-0.0169,0.9,1.8
B0 (no filter),0,3.4007,1.783,1.8,-0.017,0.9,1.8
B0 (no filter),0,3.4208,1.7827,1.8,-0.0173,0.9,1.8
B0 (no filter),0,3.4399,1.7825,1.8,-0.0175,0.9,1.8
B0 (no filter),0,3.46,1.7822,1.8,-0.0178,0.9,1.8
B0 (no filter),0,3.4808,1.782,1.8,-0.018,0.9,1.8
B0 (no filter),0,3.5004,1.7817,1.8,-0.0183,0.9,1.8
B0 (no filter),0,3.52,1.7816,1.8,-0.0184,0.9,1.8
B0 (no filter),0,3.5739,1.7813,1.8,-0.0187,0.9,1.8
B0 (no filter),0,3.5739,1.7811,1.8,-0.0189,0.9,1.8
B0 (no filter),0,3.5895,1.7808,1.8,-0.0192,0.9,1.8
B0 (no filter),0,3.6087,1.7807,1.8,-0.0193,0.9,1.8
B0 (no filter),0,3.6288,1.7804,1.8,-0.0196,0.9,1.8
B0 (no filter),0,3.6484,1.7802,1.8,-0.0198,0.9,1.8
B0 (no filter),0,3.6686,1.78,1.8,-0.02,0.9,1.8
B0 (no filter),0,3.6895,1.7798,1.8,-0.0202,0.9,1.8
B0 (no filter),0,3.7085,1.7796,1.8,-0.0204,0.9,1.8
B0 (no filter),0,3.7292,1.7795,1.8,-0.0205,0.9,1.8
B0 (no filter),0,3.748,1.7793,1.8,-0.0207,0.9,1.8
B0 (no filter),0,3.7689,1.7792,1.8,-0.0208,0.9,1.8
B0 (no filter),0,3.7894,1.779,1.8,-0.021,0.9,1.8
B0 (no filter),0,3.8082,1.7788,1.8,-0.0212,0.9,1.8
B0 (no filter),0,3.8285,1.7786,1.8,-0.0214,0.9,1.8
B0 (no filter),0,3.8491,1.7785,1.8,-0.0215,0.9,1.8
B0 (no filter),0,3.8681,1.7783,1.8,-0.0217,0.9,1.8
B0 (no filter),0,3.8896,1.7782,1.8,-0.0218,0.9,1.8
B0 (no filter),0,3.9086,1.778,1.8,-0.022,0.9,1.8
B0 (no filter),0,3.9287,1.7779,1.8,-0.0221,0.9,1.8
B0 (no filter),0,3.9489,1.7777,1.8,-0.0223,0.9,1.8
B0 (no filter),0,3.9693,1.7776,1.8,-0.0224,0.9,1.8
B0 (no filter),0,3.9886,1.7774,1.8,-0.0226,0.9,1.8
B0 (no filter),0,4.0088,1.7773,1.8,-0.0227,0.9,1.8
B0 (no filter),0,4.0285,1.7772,1.8,-0.0228,0.9,1.8
B0 (no filter),0,4.0485,1.7772,1.8,-0.0228,0.9,1.8
B0 (no filter),0,4.0694,1.7772,1.8,-0.0228,0.9,1.8
B0 (no filter),0,4.0883,1.7772,1.8,-0.0228,0.9,1.8
B0 (no filter),0,4.1084,1.7772,1.8,-0.0228,0.9,1.8
B0 (no filter),0,4.1286,1.7772,1.8,-0.0228,0.9,1.8
B0 (no filter),0,4.1483,1.7773,1.8,-0.0227,0.9,1.8
B0 (no filter),0,4.1692,1.7773,1.8,-0.0227,0.9,1.8
B0 (no filter),0,4.1888,1.7774,1.8,-0.0226,0.9,1.8
B0 (no filter),0,4.2086,1.7775,1.8,-0.0225,0.9,1.8
B0 (no filter),0,4.2286,1.7776,1.8,-0.0224,0.9,1.8
B0 (no filter),0,4.2491,1.7776,1.8,-0.0224,0.9,1.8
B0 (no filter),0,4.2688,1.7776,1.8,-0.0224,0.9,1.8
B0 (no filter),0,4.2886,1.7776,1.8,-0.0224,0.9,1.8
B0 (no filter),0,4.3085,1.7775,1.8,-0.0225,0.9,1.8
B0 (no filter),0,4.3293,1.7774,1.8,-0.0226,0.9,1.8
B0 (no filter),0,4.3486,1.7772,1.8,-0.0228,0.9,1.8
B0 (no filter),0,4.3686,1.7771,1.8,-0.0229,0.9,1.8
B0 (no filter),0,4.3895,1.7769,1.8,-0.0231,0.9,1.8
B0 (no filter),0,4.4086,1.7768,1.8,-0.0232,0.9,1.8
B0 (no filter),0,4.428,1.7766,1.8,-0.0234,0.9,1.8
B0 (no filter),0,4.4489,1.7764,1.8,-0.0236,0.9,1.8
B0 (no filter),0,4.471,1.7762,1.8,-0.0238,0.9,1.8
B0 (no filter),0,4.4893,1.7761,1.8,-0.0239,0.9,1.8
B0 (no filter),0,4.5081,1.7759,1.8,-0.0241,0.9,1.8
B0 (no filter),0,4.5283,1.7757,1.8,-0.0243,0.9,1.8
B0 (no filter),0,4.5494,1.7756,1.8,-0.0244,0.9,1.8
B0 (no filter),0,4.5745,1.7755,1.8,-0.0245,0.9,1.8
B0 (no filter),0,4.5885,1.7753,1.8,-0.0247,0.9,1.8
B0 (no filter),0,4.6095,1.7752,1.8,-0.0248,0.9,1.8
B0 (no filter),0,4.6289,1.775,1.8,-0.025,0.9,1.8
B0 (no filter),0,4.6496,1.7749,1.8,-0.0251,0.9,1.8
B0 (no filter),0,4.6705,1.7746,1.8,-0.0254,0.9,1.8
B0 (no filter),0,4.689,1.7744,1.8,-0.0256,0.9,1.8
B0 (no filter),0,4.7092,1.7742,1.8,-0.0258,0.9,1.8
B0 (no filter),0,4.7564,1.7738,1.8,-0.0262,0.9,1.8
B0 (no filter),0,4.7568,1.7736,1.8,-0.0264,0.9,1.8
B0 (no filter),0,4.771,1.7732,1.8,-0.0268,0.9,1.8
B0 (no filter),0,4.789,1.773,1.8,-0.027,0.9,1.8
B0 (no filter),0,4.8085,1.7727,1.8,-0.0273,0.9,1.8
B0 (no filter),0,4.8287,1.7723,1.8,-0.0277,0.9,1.8
B0 (no filter),0,4.8487,1.772,1.8,-0.028,0.9,1.8
B0 (no filter),0,4.8693,1.7715,1.8,-0.0285,0.9,1.8
B0 (no filter),0,4.8888,1.7712,1.8,-0.0288,0.9,1.8
B0 (no filter),0,4.9082,1.7707,1.8,-0.0293,0.9,1.8
B0 (no filter),0,4.9286,1.7703,1.8,-0.0297,0.9,1.8
B0 (no filter),0,4.9485,1.7697,1.8,-0.0303,0.9,1.8
B0 (no filter),0,4.9683,1.7693,1.8,-0.0307,0.9,1.8
B0 (no filter),0,4.9886,1.7687,1.8,-0.0313,0.9,1.8
B0 (no filter),0,5.0082,1.7682,1.8,-0.0318,0.9,1.8
B0 (no filter),0,5.0291,1.7676,1.8,-0.0324,0.9,1.8
B0 (no filter),0,5.0488,1.7671,1.8,-0.0329,0.9,1.8
B0 (no filter),0,5.069,1.7665,1.8,-0.0335,0.9,1.8
B0 (no filter),0,5.089,1.7661,1.8,-0.0339,0.9,1.8
B0 (no filter),0,5.1089,1.7655,1.8,-0.0345,0.9,1.8
B0 (no filter),0,5.1289,1.7651,1.8,-0.0349,0.9,1.8
B0 (no filter),0,5.1489,1.7645,1.8,-0.0355,0.9,1.8
B0 (no filter),0,5.1683,1.7642,1.8,-0.0358,0.9,1.8
B0 (no filter),0,5.1896,1.7638,1.8,-0.0362,0.9,1.8
B0 (no filter),0,5.2088,1.7635,1.8,-0.0365,0.9,1.8
B0 (no filter),0,5.2302,1.7632,1.8,-0.0368,0.9,1.8
B0 (no filter),0,5.2486,1.763,1.8,-0.037,0.9,1.8
B0 (no filter),0,5.2691,1.7628,1.8,-0.0372,0.9,1.8
B0 (no filter),0,5.2887,1.7627,1.8,-0.0373,0.9,1.8
B0 (no filter),0,5.3091,1.7625,1.8,-0.0375,0.9,1.8
B0 (no filter),0,5.3286,1.7623,1.8,-0.0377,0.9,1.8
B0 (no filter),0,5.3493,1.762,1.8,-0.038,0.9,1.8
B0 (no filter),0,5.3689,1.7616,1.8,-0.0384,0.9,1.8
B0 (no filter),0,5.3897,1.7608,1.8,-0.0392,0.9,1.8
B0 (no filter),0,5.4085,1.7601,1.8,-0.0399,0.9,1.8
B0 (no filter),0,5.4289,1.7585,1.8,-0.0415,0.9,1.8
B0 (no filter),0,5.4489,1.7572,1.8,-0.0428,0.9,1.8
B0 (no filter),0,5.4694,1.7546,1.8,-0.0454,0.9,1.8
B0 (no filter),0,5.4886,1.7526,1.8,-0.0474,0.9,1.8
B0 (no filter),0,5.5086,1.749,1.8,-0.051,0.9,1.8
B0 (no filter),0,5.5288,1.7461,1.8,-0.0539,0.9,1.8
B0 (no filter),0,5.5485,1.7412,1.8,-0.0588,0.9,1.8
B0 (no filter),0,5.569,1.7375,1.8,-0.0625,0.9,1.8
B0 (no filter),0,5.5889,1.7314,1.8,-0.0686,0.9,1.8
B0 (no filter),0,5.6086,1.7269,1.8,-0.0731,0.9,1.8
B0 (no filter),0,5.6291,1.7195,1.8,-0.0805,0.9,1.8
B0 (no filter),0,5.6488,1.7142,1.8,-0.0858,0.9,1.8
B0 (no filter),0,5.6693,1.7057,1.8,-0.0943,0.9,1.8
B0 (no filter),0,5.6891,1.6997,1.8,-0.1003,0.9,1.8
B0 (no filter),0,5.7082,1.6903,1.8,-0.1097,0.9,1.8
B0 (no filter),0,5.7281,1.6837,1.8,-0.1163,0.9,1.8
B0 (no filter),0,5.7489,1.6736,1.8,-0.1264,0.9,1.8
B0 (no filter),0,5.7686,1.6667,1.8,-0.1333,0.9,1.8
B0 (no filter),0,5.7891,1.6562,1.8,-0.1438,0.9,1.8
B0 (no filter),0,5.809,1.649,1.8,-0.151,0.9,1.8
B0 (no filter),0,5.828,1.6381,1.8,-0.1619,0.9,1.8
B0 (no filter),0,5.8489,1.6308,1.8,-0.1692,0.9,1.8
B0 (no filter),0,5.8685,1.6198,1.8,-0.1802,0.9,1.8
B0 (no filter),0,5.8885,1.6124,1.8,-0.1876,0.9,1.8
B0 (no filter),0,5.9087,1.6014,1.8,-0.1986,0.9,1.8
B0 (no filter),0,5.9286,1.5941,1.8,-0.2059,0.9,1.8
B0 (no filter),0,5.9484,1.5833,1.8,-0.2167,0.9,1.8
B0 (no filter),0,5.97,1.5761,1.8,-0.2239,0.9,1.8
B0 (no filter),0,5.9892,1.5656,1.8,-0.2344,0.9,1.8
B0 (no filter),0,6.0085,1.5587,1.8,-0.2413,0.9,1.8
B0 (no filter),0,6.0283,1.5486,1.8,-0.2514,0.9,1.8
B0 (no filter),0,6.0485,1.5419,1.8,-0.2581,0.9,1.8
B0 (no filter),0,6.0695,1.5322,1.8,-0.2678,0.9,1.8
B0 (no filter),0,6.0886,1.5259,1.8,-0.2741,0.9,1.8
B0 (no filter),0,6.1085,1.5167,1.8,-0.2833,0.9,1.8
B0 (no filter),0,6.1286,1.5107,1.8,-0.2893,0.9,1.8
B0 (no filter),0,6.1485,1.5019,1.8,-0.2981,0.9,1.8
B0 (no filter),0,6.1685,1.4961,1.8,-0.3039,0.9,1.8
B0 (no filter),0,6.1886,1.4878,1.8,-0.3122,0.9,1.8
B0 (no filter),0,6.2089,1.4823,1.8,-0.3177,0.9,1.8
B0 (no filter),0,6.2282,1.4744,1.8,-0.3256,0.9,1.8
B0 (no filter),0,6.2491,1.4692,1.8,-0.3308,0.9,1.8
B0 (no filter),0,6.2686,1.4616,1.8,-0.3384,0.9,1.8
B0 (no filter),0,6.2888,1.4566,1.8,-0.3434,0.9,1.8
B0 (no filter),0,6.3086,1.4493,1.8,-0.3507,0.9,1.8
B0 (no filter),0,6.3287,1.4446,1.8,-0.3554,0.9,1.8
B0 (no filter),0,6.3486,1.4375,1.8,-0.3625,0.9,1.8
B0 (no filter),0,6.3685,1.4329,1.8,-0.3671,0.9,1.8
B0 (no filter),0,6.3889,1.4261,1.8,-0.3739,0.9,1.8
B0 (no filter),0,6.4079,1.4216,1.8,-0.3784,0.9,1.8
B0 (no filter),0,6.4284,1.415,1.8,-0.385,0.9,1.8
B0 (no filter),0,6.4481,1.4106,1.8,-0.3894,0.9,1.8
B0 (no filter),0,6.4692,1.404,1.8,-0.396,0.9,1.8
B0 (no filter),0,6.4894,1.3997,1.8,-0.4003,0.9,1.8
B0 (no filter),0,6.5088,1.3933,1.8,-0.4067,0.9,1.8
B0 (no filter),0,6.5294,1.3891,1.8,-0.4109,0.9,1.8
B0 (no filter),0,6.5488,1.3827,1.8,-0.4173,0.9,1.8
B0 (no filter),0,6.5693,1.3785,1.8,-0.4215,0.9,1.8
B0 (no filter),0,6.5891,1.3723,1.8,-0.4277,0.9,1.8
B0 (no filter),0,6.6088,1.3681,1.8,-0.4319,0.9,1.8
B0 (no filter),0,6.6294,1.362,1.8,-0.438,0.9,1.8
B0 (no filter),0,6.6487,1.3579,1.8,-0.4421,0.9,1.8
B0 (no filter),0,6.6691,1.3519,1.8,-0.4481,0.9,1.8
B0 (no filter),0,6.6884,1.3479,1.8,-0.4521,0.9,1.8
B0 (no filter),0,6.7081,1.3419,1.8,-0.4581,0.9,1.8
B0 (no filter),0,6.7281,1.3379,1.8,-0.4621,0.9,1.8
B0 (no filter),0,6.7485,1.332,1.8,-0.468,0.9,1.8
B0 (no filter),0,6.7691,1.3281,1.8,-0.4719,0.9,1.8
B0 (no filter),0,6.7903,1.3223,1.8,-0.4777,0.9,1.8
B0 (no filter),0,6.8093,1.3184,1.8,-0.4816,0.9,1.8
B0 (no filter),0,6.8293,1.3126,1.8,-0.4874,0.9,1.8
B0 (no filter),0,6.8497,1.3089,1.8,-0.4911,0.9,1.8
B0 (no filter),0,6.8689,1.3032,1.8,-0.4968,0.9,1.8
B0 (no filter),0,6.8887,1.2995,1.8,-0.5005,0.9,1.8
B0 (no filter),0,6.9082,1.294,1.8,-0.506,0.9,1.8
B0 (no filter),0,6.9298,1.2886,1.8,-0.5114,0.9,1.8
B0 (no filter),0,6.949,1.285,1.8,-0.515,0.9,1.8
B0 (no filter),0,6.9694,1.2796,1.8,-0.5204,0.9,1.8
B0 (no filter),0,6.9885,1.2761,1.8,-0.5239,0.9,1.8
B0 (no filter),0,7.0082,1.2726,1.8,-0.5274,0.9,1.8
B0 (no filter),0,7.0292,1.2674,1.8,-0.5326,0.9,1.8
B0 (no filter),0,7.0488,1.264,1.8,-0.536,0.9,1.8
B0 (no filter),0,7.0708,1.2589,1.8,-0.5411,0.9,1.8
B0 (no filter),0,7.0889,1.2556,1.8,-0.5444,0.9,1.8
B0 (no filter),0,7.1087,1.2508,1.8,-0.5492,0.9,1.8
B0 (no filter),0,7.129,1.2475,1.8,-0.5525,0.9,1.8
B0 (no filter),0,7.1487,1.2428,1.8,-0.5572,0.9,1.8
B0 (no filter),0,7.1684,1.2397,1.8,-0.5603,0.9,1.8
B0 (no filter),0,7.1893,1.2351,1.8,-0.5649,0.9,1.8
B0 (no filter),0,7.2095,1.2321,1.8,-0.5679,0.9,1.8
B0 (no filter),0,7.2293,1.2276,1.8,-0.5724,0.9,1.8
B0 (no filter),0,7.2501,1.2246,1.8,-0.5754,0.9,1.8
B0 (no filter),0,7.2693,1.2202,1.8,-0.5798,0.9,1.8
B0 (no filter),0,7.2884,1.2173,1.8,-0.5827,0.9,1.8
B0 (no filter),0,7.3101,1.213,1.8,-0.587,0.9,1.8
